LocationHistoryID*	AuthorizedBy	Location* - do not change	LocationDate	LocationStatus	PrimaryKey_Object_Table	o_Accession_Full_ID	o_ItemType	topLevelLocation	childStorageLocation	childType	Location_refined	UniqueRooms	Room	Shelf/Drawer	Box	Library No.	Old Locations
121	Curator	Locked Storeroom B1	5/11/1998	Stored	2	A1949.11o	ArtWork	Locked Storeroom	B1	container	Locked Storeroom		Locked Storeroom	B1			1
122	JILLM	Locked Storeroom B2	14/02/2000	Stored	200	A1962.71	ArtWork	Locked Storeroom	B2	container	Locked Storeroom		Locked Storeroom	B2			1
123	Curator	Tranby Room Drawer 20	13/11/1998	Stored	51	A1963.84a	ArtWork	Tranby room	Drawer 20	drawer	Tranby room	Drawer 20	Tranby room	Drawer 20			0
124	Curator	Tranby Room, Drawer 20	13/11/1998	Stored	52	A1963.84b	ArtWork	Tranby room	Drawer 20	drawer	Tranby room	Drawer 20	Tranby room	Drawer 20			0
125	Curator	Tranby Room, Drawer 20	13/11/1998	Stored	53	A1963.84c	ArtWork	Tranby room	Drawer 20	drawer	Tranby room	Drawer 20	Tranby room	Drawer 20			0
126	Curator	Tranby Room, Drawer 20	13/11/1998	Stored	54	A1963.84d	ArtWork	Tranby room	Drawer 20	drawer	Tranby room	Drawer 20	Tranby room	Drawer 20			0
127	Curator	Tranby Room, Drawer 20	13/11/1998	Stored	55	A1963.84e	ArtWork	Tranby room	Drawer 20	drawer	Tranby room	Drawer 20	Tranby room	Drawer 20			0
128	Curator	Tranby Room, Drawer 20	13/11/1998	Stored	56	A1963.84f	ArtWork	Tranby room	Drawer 20	drawer	Tranby room	Drawer 20	Tranby room	Drawer 20			0
129	Curator	Tranby Room, Drawer 20	13/11/1998	Stored	57	A1963.84g	ArtWork	Tranby room	Drawer 20	drawer	Tranby room	Drawer 20	Tranby room	Drawer 20			0
130	Curator	Tranby Room, Drawer 20	13/11/1998	Stored	58	A1963.84h	ArtWork	Tranby room	Drawer 20	drawer	Tranby room	Drawer 20	Tranby room	Drawer 20			0
131	Curator	Tranby Room, Drawer 20	13/11/1998	Stored	59	A1963.84I	ArtWork	Tranby room	Drawer 20	drawer	Tranby room	Drawer 20	Tranby room	Drawer 20			0
132	JILLM	Foyer	9/11/1998	Displayed	23	A1964.1	ArtWork	NULL	Foyer	room	Foyer		Foyer				0
133	JILLM	Foyer	29/05/2000	Displayed	23	A1964.1	ArtWork	NULL	Foyer	room	Foyer		Foyer				0
134	JILLM	Locked Storeroom B9	10/11/1998	Stored	23	A1964.1	ArtWork	Locked Storeroom	B9	container	Locked Storeroom		Locked Storeroom	B9			1
135	JILLM	Locked Storeroom, Drawer B7	14/02/2000	Stored	201	A1964.21f	ArtWork	Locked Storeroom	Drawer B7	drawer	Locked Storeroom		Locked Storeroom	Drawer B7			1
136	JILLM	Top Room, South Wall	08/03/2000	Stored	232	A1964.24	ArtWork	NULL	Top Room, South Wall	container	Top Room, South Wall	Top Room	Top Room				0
137	Curator	Locked Storeroom B6	11/11/1998	Stored	47	A1964.26a	ArtWork	Locked Storeroom	B6	container	Locked Storeroom		Locked Storeroom	B6			1
138	Curator	Locked Storeroom A9	11/11/1998	Stored	48	A1964.26b	ArtWork	Locked Storeroom	A9	container	Locked Storeroom		Locked Storeroom	A9			1
139	Curator	Locked Storeroom C9	11/11/1998	Stored	46	A1900.41	ArtWork	Locked Storeroom	C9	container	Locked Storeroom		Locked Storeroom	C9			1
140	Curator	Locked Storeroom B4	5/11/1998	Stored	20	A1900.53	ArtWork	Locked Storeroom	B4	container	Locked Storeroom		Locked Storeroom	B4			1
141	JILLM	Drawer no. 1, Library annexe.	14/02/2000	Stored	202	A1971.21	ArtWork	NULL	Drawer no. 1, Library annexe.	container	Drawer no. 1, Library annexe.	Library	Library	Drawer no. 1, Library annexe.			0
142	JILLM	North Wall, Upper Foyer	13/03/2000	Stored	236	A1971.28b	ArtWork	NULL	North Wall, Upper Foyer	container	North Wall, Upper Foyer	Foyer	Foyer				0
143	Curator	Tranby Room	5/11/1998	Stored	14	A1971.32	ArtWork	NULL	Tranby room	room	Tranby room		Tranby room				0
144	JILLM	Top Room	5/11/1998	Displayed	19	A1971.4	ArtWork	NULL	Top Room	container	Top Room		Top Room				0
145	JILLM	Locked Storeroom, Drawer A9	27/10/1999	Stored	138	A1972.22a	ArtWork	Locked Storeroom	Drawer A9	drawer	Locked Storeroom		Locked Storeroom	Drawer A9			1
146	JILLM	Locked Storeroom, Drawer A9	27/10/1999	Stored	139	A1972.22b	ArtWork	Locked Storeroom	Drawer A9	drawer	Locked Storeroom		Locked Storeroom	Drawer A9			1
147	JILLM	Locked Storeroom, Drawer A9	10/11/1999	Stored	140	A1972.22c	ArtWork	Locked Storeroom	Drawer A9	drawer	Locked Storeroom		Locked Storeroom	Drawer A9			1
148	JILLM	Locked Storeroom, Drawer A9	10/11/1999	Stored	141	A1972.22d	ArtWork	Locked Storeroom	Drawer A9	drawer	Locked Storeroom		Locked Storeroom	Drawer A9			1
149	Curator	Locked Storeroom C3	10/11/1998	Stored	26	A1978.1	ArtWork	Locked Storeroom	C3	container	Locked Storeroom		Locked Storeroom	C3			1
150	JILLM	Locked Storeroom	29/05/2000	Stored	181	A1978.114	ArtWork	NULL	Locked Storeroom	room	Locked Storeroom		Locked Storeroom				0
151	Curator	Locked Storeroom C4	10/11/1998	Stored	28	A1978.2	ArtWork	Locked Storeroom	C4	container	Locked Storeroom		Locked Storeroom	C4			1
152	JILLM	Locked Storeroom, Drawer A10	29/05/2000	Stored	220	A1978.3	ArtWork	Locked Storeroom	Drawer A10	drawer	Locked Storeroom		Locked Storeroom	Drawer A10			1
153	Curator	Locked Storeroom C1	13/11/1998	Stored	60	A1978.66	ArtWork	Locked Storeroom	C1	container	Locked Storeroom		Locked Storeroom	C1			1
154	JILLM	Locked Storeroom, Drawer B3	29/05/2000	Stored	208	A1978.8	ArtWork	Locked Storeroom	Drawer B3	drawer	Locked Storeroom		Locked Storeroom	Drawer B3			1
155	Curator	Top room	20/10/1999	Displayed	6	A1978.9	ArtWork	NULL	Top room	container	Top room		Top room				0
156	Curator	Locked Storeroom, Drawer B3	20/10/1999	Stored	6	A1978.9	ArtWork	Locked Storeroom	Drawer B3	drawer	Locked Storeroom		Locked Storeroom	Drawer B3			1
157	JILLM	Locked storeroom, South Wall	11/11/1998	Displayed	40	A1979.14	ArtWork	Locked Storeroom	South Wall	container	Locked Storeroom		Locked Storeroom				1
158	JILLM	Locked Storeroom, South Wall	29/05/2000	Stored	40	A1979.14	ArtWork	Locked Storeroom	South Wall	container	Locked Storeroom		Locked Storeroom				1
159	JILLM	Top Room, East Wall	29/05/2000	Displayed	50	A1980.236	ArtWork	NULL	Top Room, East Wall	container	Top Room, East Wall	Top Room	Top Room				0
160	JILLM	Locked Storeroom C2	11/11/1998	Stored	50	A1980.236	ArtWork	Locked Storeroom	C2	container	Locked Storeroom		Locked Storeroom	C2			1
161	JILLM	Top Room, East Wall	29/05/2000	Displayed	22	A1983.198	ArtWork	NULL	Top Room, East Wall	container	Top Room, East Wall	Top Room	Top Room				0
162	JILLM	Locked storeroom C6	10/11/1998	Stored	22	A1983.198	ArtWork	Locked Storeroom	C6	container	Locked Storeroom		Locked Storeroom	C6			1
163	Curator	Locked storeroom, South wall	4/11/1998	Stored	11	A1984.367	ArtWork	Locked Storeroom	South wall	container	Locked Storeroom		Locked Storeroom				1
164	JILLM	Foyer	20/10/1999	Displayed	3	A1984.380	ArtWork	NULL	Foyer	room	Foyer		Foyer				0
165	Curator	Locked Storeroom C9	11/11/1998	Stored	39	A1900.329	ArtWork	Locked Storeroom	C9	container	Locked Storeroom		Locked Storeroom	C9			1
166	CURATOR	Tranby Room	07/02/2000	Stored	185	A1984.394a	ArtWork	NULL	Tranby room	room	Tranby room		Tranby room				0
167	CURATOR	Tranby Room	18/04/2000	Displayed	186	A1984.394b	ArtWork	NULL	Tranby room	room	Tranby room		Tranby room				0
168	CURATOR	Tranby Room	18/04/2000	Displayed	187	A1984.394c	ArtWork	NULL	Tranby room	room	Tranby room		Tranby room				0
169	CURATOR	Tranby Room	18/04/2000	Displayed	188	A1984.394d	ArtWork	NULL	Tranby room	room	Tranby room		Tranby room				0
170	CURATOR	Tranby Room	18/04/2000	Displayed	189	A1984.394e	NULL	NULL	Tranby room	room	Tranby room		Tranby room				0
171	JILLM	Locked Storeroom A8	11/11/1998	Stored	41	A1938.66	ArtWork	Locked Storeroom	A8	container	Locked Storeroom		Locked Storeroom	A8			1
172	Curator	Locked storeroom C1	5/11/1998	Stored	16	A1986.115	ArtWork	Locked Storeroom	C1	container	Locked Storeroom		Locked Storeroom	C1			1
173	JILLM	Locked Storeroom C8	11/11/1998	Stored	42	A1900.42	ArtWork	Locked Storeroom	C8	container	Locked Storeroom		Locked Storeroom	C8			1
174	Curator	Locked Storeroom C10	11/11/1998	Stored	43	A1900.339	ArtWork	Locked Storeroom	C10	container	Locked Storeroom		Locked Storeroom	C10			1
175	JILLM	Top Room	29/05/2000	Displayed	203	A1900.232	ArtWork	NULL	Top Room	container	Top Room		Top Room				0
176	JILLM	Locked Storeroom, Drawer C10	14/02/2000	Stored	203	A1900.232	ArtWork	Locked Storeroom	Drawer C10	drawer	Locked Storeroom		Locked Storeroom	Drawer C10			1
177	JILLM	Tranby Room, East Wall	13/03/2000	Stored	239	A1900.335	ArtWork	Tranby room	East Wall	container	Tranby room		Tranby room				0
178	JILLM	South Wall, Top Room	13/03/2000	Stored	240	A1946.2c	ArtWork	NULL	South Wall, Top Room	container	South Wall, Top Room	Top Room	Top Room				0
179	JILLM	Locked Storeroom, Drawer A	29/05/2000	Stored	151	A1986.135	ArtWork	Locked Storeroom	Drawer A	drawer	Locked Storeroom		Locked Storeroom	Drawer A			1
180	Curator	Locked storeroom B3	4/11/1998	Stored	10	A1938.66b	ArtWork	Locked Storeroom	B3	container	Locked Storeroom		Locked Storeroom	B3			1
181	JILLM	Locked Storeroom, Drawer C2	29/05/2000	Stored	152	A1900.143	ArtWork	Locked Storeroom	Drawer C2	drawer	Locked Storeroom		Locked Storeroom	Drawer C2			1
182	Curator	Tranby Room D9	8/12/1998	Stored	65	A1986.138a	ArtWork	Tranby room	D9	container	Tranby room		Tranby room	D9			1
183	Curator	Tranby Room D9	8/12/1998	Stored	66	A1986.138b	ArtWork	Tranby room	D9	container	Tranby room		Tranby room	D9			1
184	Curator	Tranby Room D9	8/12/1998	Stored	67	A1986.138c	ArtWork	Tranby room	D9	container	Tranby room		Tranby room	D9			1
185	Curator	Tranby Room D9	8/12/1998	Stored	68	A1986.138d	ArtWork	Tranby room	D9	container	Tranby room		Tranby room	D9			1
186	Curator	Tranby Room D9	8/12/1998	Stored	71	A1986.138e	ArtWork	Tranby room	D9	container	Tranby room		Tranby room	D9			1
187	Curator	Tranby Room D9	8/12/1998	Stored	73	A1986.138f	ArtWork	Tranby room	D9	container	Tranby room		Tranby room	D9			1
188	Curator	Tranby Room D9	8/12/1998	Stored	74	A1986.138g	ArtWork	Tranby room	D9	container	Tranby room		Tranby room	D9			1
189	Curator	Tranby Room D9	8/12/1998	Stored	69	A1986.138h	ArtWork	Tranby room	D9	container	Tranby room		Tranby room	D9			1
190	Curator	Tranby Room D9	8/12/1998	Stored	76	A1986.138I	ArtWork	Tranby room	D9	container	Tranby room		Tranby room	D9			1
191	Curator	Tranby Room D9	8/12/1998	Stored	77	A1986.138j	ArtWork	Tranby room	D9	container	Tranby room		Tranby room	D9			1
192	Curator	Tranby Room D9	8/12/1998	Stored	75	A1986.138k	ArtWork	Tranby room	D9	container	Tranby room		Tranby room	D9			1
193	Curator	Tranby Room D9	8/12/1998	Stored	80	A1986.138l	ArtWork	Tranby room	D9	container	Tranby room		Tranby room	D9			1
194	Curator	Tranby Room D9	8/12/1998	Stored	81	A1986.138m	ArtWork	Tranby room	D9	container	Tranby room		Tranby room	D9			1
196	Curator	Locked Storeroom B6	11/11/1998	Stored	38	A1900.230	ArtWork	Locked Storeroom	B6	container	Locked Storeroom		Locked Storeroom	B6			1
197	Curator	Locked Storeroom South Wall	11/11/1998	Stored	37	A1900.46	ArtWork	Locked Storeroom	South Wall	container	Locked Storeroom		Locked Storeroom				1
198	JILLM	Drawing Room, South Wall	13/03/2000	Stored	242	A1986.143	ArtWork	NULL	Drawing Room, South Wall	container	Drawing Room, South Wall	Drawing Room	Drawing Room				0
199	JILLM	Locked Storeroom, Drawer A8	21/02/2000	Stored	223	A1900.172	ArtWork	Locked Storeroom	Drawer A8	drawer	Locked Storeroom		Locked Storeroom	Drawer A8			1
200	Curator	Top Room	21/02/2000	Displayed	213	A1986.147	ArtWork	NULL	Top Room	container	Top Room		Top Room				0
201	Curator	Tranby Room, South Wall	8/12/1999	Stored	179	A1935.24	ArtWork	Tranby room	South Wall	container	Tranby room		Tranby room				0
202	Curator	Tranby Room 22	10/11/1998	Stored	33	A1986.183a	ArtWork	Tranby room	22	container	Tranby room		Tranby room				0
203	JILLM	Tranby Room, Drawer 9	10/11/1998	Stored	34	A1986.183b	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
